"id","h_year","age","year_birth","height"
5550,1882,18,1864,56.00
5671,1882,31,1851,56.00
6466,1882,27,1855,56.00
7075,1882,20,1862,56.00
7639,1882,51,1831,56.00
7651,1882,45,1837,56.00
8327,1882,34,1848,56.00
10221,1889,52,1837,56.00
10407,1889,66,1823,56.00
10424,1889,66,1823,56.00
10734,1889,58,1831,56.00
11213,1889,62,1827,56.00
13409,1890,19,1871,56.00
13511,1890,28,1862,56.00
14355,1890,70,1820,56.00
14801,1890,36,1854,56.00
15145,1890,27,1863,56.00
15261,1890,36,1854,56.00
16841,1891,41,1850,56.00
17669,1891,54,1837,56.00
17764,1891,69,1822,56.00
18115,1891,40,1851,56.00
18277,1891,34,1857,56.00
18365,1891,57,1834,56.00
18373,1891,48,1843,56.00
18700,1891,18,1873,56.00
20104,1892,18,1874,56.00
20144,1892,47,1845,56.00
20661,1892,72,1820,56.00
20764,1892,19,1873,56.00
21425,1892,66,1826,56.00
22307,1892,45,1847,56.00
23180,1892,39,1853,56.00
23323,1893,23,1870,56.00
23619,1893,27,1866,56.00
24144,1893,50,1843,56.00
24232,1893,31,1862,56.00
24334,1893,35,1858,56.00
25407,1893,45,1848,56.00
25847,1893,59,1834,56.00
26388,1893,45,1848,56.00
26923,1893,41,1852,56.00
27379,1894,28,1866,56.00
28512,1894,40,1854,56.00
29208,1894,60,1834,56.00
29928,1894,19,1875,56.00
31960,1895,27,1868,56.00
32539,1895,39,1856,56.00
33093,1895,48,1847,56.00
33607,1895,37,1858,56.00
34177,1895,26,1869,56.00
35026,1896,48,1848,56.00
39335,1897,31,1866,56.00
40670,1897,72,1825,56.00
40895,1897,28,1869,56.00
40965,1897,27,1870,56.00
41322,1897,50,1847,56.00
42239,1897,54,1843,56.00
42497,1898,30,1868,56.00
45397,1898,25,1873,56.00
45528,1898,66,1832,56.00
47146,1899,51,1848,56.00
48612,1899,52,1847,56.00
49275,1899,33,1866,56.00
49310,1899,30,1869,56.00
49541,1899,23,1876,56.00
52378,1900,67,1833,56.00
52385,1900,40,1860,56.00
55445,1901,38,1863,56.00
55523,1901,48,1853,56.00
56006,1901,31,1870,56.00
56602,1901,43,1858,56.00
58749,1902,40,1862,56.00
58753,1902,48,1854,56.00
60922,1903,44,1859,56.00
67378,1904,48,1856,56.00
68406,1904,32,1872,56.00
70541,1905,40,1865,56.00
80348,1907,27,1880,56.00
85972,1908,59,1849,56.00
88221,1909,55,1854,56.00
90335,1909,36,1873,56.00
92213,1909,49,1860,56.00
92273,1909,46,1863,56.00
96502,1910,57,1853,56.00
97708,1910,64,1846,56.00
100473,1911,21,1890,56.00
101309,1911,50,1861,56.00
106045,1912,33,1879,56.00
107270,1912,50,1862,56.00
107974,1913,30,1883,56.00
108164,1913,70,1843,56.00
109227,1913,66,1847,56.00
111380,1913,29,1884,56.00
113768,1914,64,1850,56.00
114301,1914,56,1858,56.00
115984,1914,36,1878,56.00
118395,1915,67,1848,56.00
119445,1915,23,1892,56.00
122292,1917,25,1892,56.00
122423,1917,32,1885,56.00
124497,1919,58,1861,56.00
128515,1921,35,1886,56.00
132501,1923,40,1883,56.00
4247,1882,29,1853 ,56.25
5450,1882,62,1820,56.25
5454,1882,67,1815,56.25
12659,1890,19,1871,56.25
