"id","h_year","age","year_birth","height"
7138,1827,18,1809,60
7139,1827,20,1807,60.75
7140,1827,50,1777,61.75
7141,1826,24,1802,62.5
7142,1827,20,1807,62.5
7143,1827,19,1808,61
7144,1827,30,1797,61.25
7145,1827,22,1805,56.75
7146,1825,22,1803,60.25
7147,1827,24,1803,63.5
7148,1827,30,1797,59.5
7149,1826,19,1807,64.25
7150,1826,26,1800,67
7151,1827,35,1792,60.5
7152,1826,27,1799,59.25
7153,1827,36,1791,63
7154,1827,30,1797,60.5
7155,1826,36,1790,60
7156,1827,19,1808,58.25
7157,1827,20,1807,60
7158,1826,20,1806,62.5
7159,1827,30,1797,58.5
7160,1826,26,1800,61.5
7161,1827,50,1777,58
7162,1827,18,1809,64.25
7163,1826,25,1801,61
7164,1827,33,1794,66.5
7165,1826,28,1798,64
7166,1827,26,1801,60
7167,1826,58,1768,61
7168,1827,20,1807,62.5
7169,1827,40,1787,62
7170,1827,17,1810,60.75
7171,1826,27,1799,61.5
7172,1826,32,1794,60.25
7173,1827,20,1807,60
7174,1827,24,1803,63.75
7175,1827,37,1790,64.75
7176,1826,34,1792,61.75
7177,1826,14,1812,56.75
7178,1827,35,1792,63
7179,1827,23,1804,61.25
7180,1827,26,1801,64.75
7181,1827,21,1806,61.5
7182,1826,23,1803,65
7183,1827,20,1807,59
7184,1827,18,1809,60.5
7185,1826,27,1799,61.75
7186,1826,28,1798,60
7187,1827,22,1805,66
7188,1826,24,1802,64.5
7189,1827,25,1802,61.5
7190,1827,20,1807,52.5
7191,1827,30,1797,60.25
7192,1827,32,1795,64.5
7193,1826,22,1804,60.75
7194,1827,23,1804,64.5
7195,1827,24,1803,63.5
7196,1827,19,1808,64
7197,1827,35,1792,63.25
7198,1827,34,1793,62
7199,1826,39,1787,62.75
7200,1826,19,1807,56.75
7201,1826,20,1806,58.5
7202,1826,24,1802,58.5
7203,1826,20,1806,64
7204,1827,28,1799,62.5
7205,1827,23,1804,61.5
7206,1827,22,1805,61.75
7207,1827,29,1798,64
7208,1827,21,1806,58.5
7209,1827,23,1804,61.75
7210,1827,22,1805,64
7211,1827,23,1804,64.75
7212,1826,31,1795,66
7213,1826,19,1807,61.5
7214,1827,19,1808,60
7215,1826,34,1792,58.75
7216,1827,19,1808,60.5
7217,1827,20,1807,58.25
7218,1827,19,1808,63.25
7219,1827,16,1811,62
